W,K,grid_strategy,interp_method,collapse_method,mae,mse,rmse,max_err,q_mean
10.0,128,uniform,linear,ls,5.369063365226174,46.49994208451151,6.8190866019219545,20.274794243921704,-0.07828157647078601
10.0,128,uniform,linear,fft,11.142413626510898,219.1821152947952,14.804800413879114,62.13692016889691,-2.47207485403094
10.0,128,uniform,linear,gaussian,0.12371871173898785,2.133999227849249,1.4608214222995393,39.89822670059037,-1.7879686669660926
10.0,128,uniform,polar,ls,5.476886084784754,46.672028785145805,6.831692966252641,20.274794243921704,0.12909637849281583
10.0,128,uniform,polar,fft,11.43467573602217,144.5133402277353,12.021370147688462,19.995346339226387,3.7167826355541087
10.0,128,uniform,polar,gaussian,18.31908723011421,404.5175983280376,20.112622860483352,39.89822670059037,-3.7349889847215514
10.0,128,uniform,pchip,ls,5.475592534416631,47.0532156700831,6.859534654047831,20.274794243921704,0.0641162056483096
10.0,128,uniform,pchip,fft,10.57328302347308,194.57910333095515,13.949161384504631,54.93005659899221,-5.304865075818749
10.0,128,uniform,pchip,gaussian,0.5326601964583502,2.452922383551701,1.5661808272200568,39.89822670059037,-1.3362507804654804
10.0,128,uniform,lanczos,ls,5.157255886857077,45.46467455433366,6.74274977693327,20.274794243921704,-0.09073846234075676
10.0,128,uniform,lanczos,fft,10.83612817119732,199.76616450612465,14.133865872652274,54.55188894241096,-2.0355370399022124
10.0,128,uniform,lanczos,gaussian,0.3040645720061015,2.2014059587663533,1.4837135703249307,39.89822670059037,-1.5470045644563004
10.0,128,two_density_regions,linear,ls,2.7157265539605295,18.39302412017631,4.288708910636896,20.611702411528455,-0.9087552367653229
10.0,128,two_density_regions,linear,gaussian,0.003340020786765294,1.2225247239990629e-05,0.0034964621033253926,0.005123713353744286,-1.6786111418321785
10.0,128,two_density_regions,polar,ls,2.0980655884311643,15.020717108870521,3.8756569906108203,20.611702411528455,-0.9699301279580662
10.0,128,two_density_regions,polar,gaussian,2.8476480432952183e-15,1.2942857306563333e-29,3.597618282497927e-15,7.105427357601002e-15,-1.6752711210454156
10.0,128,two_density_regions,pchip,ls,2.3885525898417455,15.391586310332915,3.9232112242820825,20.611702411528455,-0.7147417571503187
10.0,128,two_density_regions,pchip,gaussian,0.00581626120226336,6.137275905303113e-05,0.007834076783707901,0.01712560799252305,-1.6783650796728828
10.0,128,two_density_regions,lanczos,ls,7.8751146554334746,150.7684374746016,12.278779966861594,50.703836126350794,0.11335248616904245
10.0,128,two_density_regions,lanczos,gaussian,4.163160591797361,30.561028982004927,5.528203051806702,17.193988831415858,-3.9115714971221025
10.0,128,three_density_regions,linear,ls,1.184714402065317,3.790742342111865,1.9469828818230182,11.321768189493426,-1.3369754922637962
10.0,128,three_density_regions,linear,gaussian,0.07749984504718689,0.10867820347787817,0.32966377337808617,8.578323524091807,-1.7524058915621383
10.0,128,three_density_regions,polar,ls,0.8543421924569988,2.754397865462858,1.6596378717849438,11.321768189493426,-1.3991022862870341
10.0,128,three_density_regions,polar,gaussian,0.2676142373016378,0.877047255644648,0.9365080115218706,8.578323524091807,-1.9428070641244106
10.0,128,three_density_regions,pchip,ls,1.000529793517084,2.9943446635590187,1.7304174824472327,11.321768189493426,-1.2020010358485038
10.0,128,three_density_regions,pchip,gaussian,0.05567219656123975,0.1033790624407139,0.3215261458119913,8.578323524091807,-1.729912853589042
10.0,128,three_density_regions,lanczos,ls,5.718427667644694,53.9211534457381,7.34310244009561,21.892777023812897,-0.0742676502606976
10.0,128,three_density_regions,lanczos,gaussian,4.341685103517321,36.36421650132688,6.0302749938395745,22.95434611088914,-4.441701986415422
10.0,128,four_density_regions,linear,ls,0.5270539389832105,0.7947035074975592,0.8914614447622282,5.635763009707663,-1.5343746272278265
10.0,128,four_density_regions,linear,gaussian,0.021628703188635214,0.003962986122480738,0.06295225271966634,1.1605555342551774,-1.687670083689187
10.0,128,four_density_regions,polar,ls,0.3849510267835473,0.5806046924348293,0.7619742071978745,5.635763009707663,-1.5529288038132738
10.0,128,four_density_regions,polar,gaussian,0.014982957710910929,0.00371322493230882,0.06093623661097574,1.1605555342551774,-1.6796992008158644
10.0,128,four_density_regions,pchip,ls,0.4292099352596136,0.6182232389821641,0.7862717335515529,5.635763009707663,-1.469342815779679
10.0,128,four_density_regions,pchip,gaussian,0.02284254728663437,0.0038432448227550377,0.061993909561787096,1.1605555342551774,-1.67830267305983
10.0,128,four_density_regions,lanczos,ls,7.195300942677049,112.06813869263746,10.586224005406152,38.85648412435296,-0.04477968368917341
10.0,128,four_density_regions,lanczos,gaussian,4.231334237784159,32.91130299824481,5.73683736899041,20.219217683718238,-4.1782188474682185
10.0,128,exponential_decay,linear,ls,2.6746055805334246,17.89876798347267,4.2306935582091825,20.44738799368354,-0.9338793241303248
10.0,128,exponential_decay,linear,gaussian,0.020850913612126338,0.00046520598475433434,0.021568634281157774,0.04488865887014093,-1.6961220346575394
10.0,128,exponential_decay,polar,ls,2.066177019582449,14.601100620459484,3.8211386549639212,20.44738799368354,-0.9811839517508523
10.0,128,exponential_decay,polar,gaussian,2.99234711083803e-15,9.91597746997757e-30,3.1489645075766684e-15,5.329070518200751e-15,-1.6752711210454163
10.0,128,exponential_decay,pchip,ls,2.3268469410381556,15.03109615879565,3.876995764608939,20.44738799368354,-0.7517953966279647
10.0,128,exponential_decay,pchip,gaussian,0.025590177439563207,0.0008145471281289606,0.028540272040205934,0.06382332378840427,-1.6787863467354167
10.0,128,exponential_decay,lanczos,ls,5.8680522638904105,54.49980933892359,7.382398616907894,20.44738799368354,0.9012359740548019
